"","MLUSE_old","MLUSE_new"
"1554","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1555","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1556","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1557","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1558","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1559","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1560","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1561","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1562","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1563","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"1564","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1565","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1566","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1567","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1568","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1569","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1570","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1571","Undefined (before)","Undefined (after)"
