"","LUC_old","LUC_new"
"1588","Undefined (before)","Single Family Residential Urban (after)"
"1589","Undefined (before)","Single Family Residential Urban (after)"
"1590","Undefined (before)","Single Family Residential Urban (after)"
"1591","Undefined (before)","Single Family Residential Urban (after)"
"1592","Undefined (before)","Single Family Residential Urban (after)"
"1593","Undefined (before)","Single Family Residential Urban (after)"
"1594","Undefined (before)","Single Family Residential Urban (after)"
"1595","Undefined (before)","Single Family Residential Urban (after)"
"1596","Undefined (before)","Single Family Residential Urban (after)"
"1597","Undefined (before)","Single Family Residential Urban (after)"
"1598","Undefined (before)","Single Family Residential Urban (after)"
"1599","Undefined (before)","Single Family Residential Urban (after)"
"1600","Undefined (before)","Other (after)"
"1601","Undefined (before)","Single Family Residential Urban (after)"
"1602","Undefined (before)","Single Family Residential Urban (after)"
"1603","Undefined (before)","Single Family Residential Urban (after)"
"1604","Undefined (before)","Single Family Residential Urban (after)"
"1605","Undefined (before)","Single Family Residential Urban (after)"
"1606","Undefined (before)","Single Family Residential Urban (after)"
"1607","Undefined (before)","Single Family Residential Urban (after)"
"1608","Undefined (before)","Single Family Residential Urban (after)"
"1609","Undefined (before)","Single Family Residential Urban (after)"
"1610","Undefined (before)","Single Family Residential Urban (after)"
"1611","Undefined (before)","Single Family Residential Urban (after)"
"1612","Undefined (before)","Single Family Residential Urban (after)"
"1613","Undefined (before)","Single Family Residential Urban (after)"
"1614","Undefined (before)","Single Family Residential Urban (after)"
"1615","Undefined (before)","Single Family Residential Urban (after)"
"1616","Undefined (before)","Single Family Residential Urban (after)"
"1617","Undefined (before)","Single Family Residential Urban (after)"
"1618","Undefined (before)","Single Family Residential Urban (after)"
"1619","Undefined (before)","Single Family Residential Urban (after)"
"1620","Undefined (before)","Single Family Residential Urban (after)"
"1621","Undefined (before)","Single Family Residential Urban (after)"
"1622","Undefined (before)","Single Family Residential Urban (after)"
"1623","Undefined (before)","Single Family Residential Urban (after)"
"1624","Undefined (before)","Single Family Residential Urban (after)"
"1625","Undefined (before)","Single Family Residential Urban (after)"
"1626","Undefined (before)","Single Family Residential Urban (after)"
"1627","Undefined (before)","Single Family Residential Urban (after)"
"1628","Undefined (before)","Single Family Residential Urban (after)"
"1629","Undefined (before)","Single Family Residential Urban (after)"
"1630","Undefined (before)","Single Family Residential Urban (after)"
"1631","Undefined (before)","Single Family Residential Urban (after)"
"1632","Undefined (before)","Single Family Residential Urban (after)"
"1633","Undefined (before)","Single Family Residential Urban (after)"
"1634","Undefined (before)","Single Family Residential Urban (after)"
"1635","Undefined (before)","Single Family Residential Urban (after)"
"1636","Undefined (before)","Single Family Residential Urban (after)"
"1637","Undefined (before)","Single Family Residential Urban (after)"
"1638","Undefined (before)","Single Family Residential Urban (after)"
